Episode number,Directed by,Written by,Original air date,Prod. code,U.S. viewers (millions),
2,Ben Weiss,Sherry Bilsing-Graham & Ellen Plummer,"October 2, 2003(2003-10-02)",176252,22.37[391],10.6/30[392]
3,Gary Halvorson,Brian Buckner,"October 9, 2003(2003-10-09)",176253,21.87[393],10.3/28[394]
4,Gary Halvorson,Robert Carlock,"October 23, 2003(2003-10-23)",176254,18.77[395],9.1/25[396]
5,Roger Christiansen,Dana Klein Borkow,"October 30, 2003(2003-10-30)",176255,19.37[397],9.0/24[398]
6,Ben Weiss,Sebastian Jones,"November 6, 2003(2003-11-06)",176256,20.38[399],9.2/25[400]
7,Kevin S. Bright,Mark Kunerth,"November 13, 2003(2003-11-13)",176257,20.21[401],9.5/25[402]
8,Gary Halvorson,Shana Goldberg-Meehan,"November 20, 2003(2003-11-20)",176259,20.66[403],9.4/26[404]
9,David Schwimmer,Scott Silveri,"January 8, 2004(2004-01-08)",176258,25.49[405],11.9/31[406]
10,Gary Halvorson,Doty Abrams,"January 15, 2004(2004-01-15)",176268,26.68[407],12.9/34[408]
11,Kevin S. Bright,David Crane&Marta Kauffman,"February 5, 2004(2004-02-05)",176260,24.91[409],11.4/29[410]
12,Kevin S. Bright,Robert Carlock & Dana Klein Borkow,"February 12, 2004(2004-02-12)",176262,25.90[411],11.4/29[412]
13,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,"February 19, 2004(2004-02-19)",176261,24.27[413],11.0/29[414]
14,Gary Halvorson,Story by: Robert CarlockTeleplay by: Tracy Reilly,"February 26, 2004(2004-02-26)",176263,22.83[415],10.6/27[416]
15,Gary Halvorson,Story by: Mark KunerthTeleplay by: David Crane & Marta Kauffman,"April 22, 2004(2004-04-22)",176264,22.64[417],10.3/31[418]
16,Gary Halvorson,Andrew Reich & Ted Cohen,"April 29, 2004(2004-04-29)",176265,24.51[419],11.2/32[420]
17,Kevin S. Bright,Marta Kauffman & David Crane,"May 6, 2004(2004-05-06)[b]",176266,52.46[421],24.9/54[422]
21.5,19.5,19.7,18.6,18.2,23.5,21.1
32.1,30.2,28.1,28.3,30.2,30.5,32.9
26.76,25.23,26.1,23.25,23.27,27.36,28.69
29.43,23.98,24.31,24.35,25.68,26.35,26.76
31.12,26.82,24.09,25.87,24.99,24.44,23.92
27.74,21.6,21.07,22.39,23.59,22.75,22.14
25.54,22.72,22.66,24.43,22.01,23.73,16.57
31.7,29.2,25.58,25.64,26.96,24.24,26.54
34.01,26.63,25.81,24.46,27.51,25.35,26.76
24.54,21.87,18.77,19.37,20.38,20.21,20.66
